position	matches	mismatches	insertions	deletions	flank	sample	locus_id
-71	237	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-72	237	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-73	236	1	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-74	237	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-75	237	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-76	236	1	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-77	236	1	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-78	236	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-79	236	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-80	236	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-81	234	2	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-82	235	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-83	234	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-84	234	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-85	234	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-86	233	1	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-87	233	1	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-88	233	1	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-89	234	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-90	234	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-91	232	2	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-92	234	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-93	234	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-94	234	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-95	232	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-96	232	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-97	231	1	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-98	231	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-99	231	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-100	229	1	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-101	227	3	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-102	230	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-103	229	1	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-104	230	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-105	230	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-106	230	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-107	229	1	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-108	230	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-109	230	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-110	230	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-111	230	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-112	230	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-113	229	1	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-114	230	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-115	229	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-116	228	1	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-117	229	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-118	229	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-119	229	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-120	228	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-121	227	1	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-122	227	1	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-123	227	1	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-124	226	1	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-125	225	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-126	224	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-127	224	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-128	222	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-129	222	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-130	222	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-131	222	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-132	222	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-133	222	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-134	222	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-135	221	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-136	221	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-137	219	2	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-138	220	1	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-139	221	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-140	220	1	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-141	220	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-142	220	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-143	219	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-144	219	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-145	219	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-146	219	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-147	219	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-148	219	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-149	219	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
-150	218	0	0	0	left	HG00118_realigned.bam	chr1_13417_13421
1	219	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
2	218	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
3	218	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
4	219	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
5	218	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
6	217	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
7	216	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
8	215	2	0	0	right	HG00118_realigned.bam	chr1_13417_13421
9	217	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
10	215	2	0	0	right	HG00118_realigned.bam	chr1_13417_13421
11	216	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
12	216	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
13	215	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
14	216	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
15	216	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
16	214	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
17	212	3	0	0	right	HG00118_realigned.bam	chr1_13417_13421
18	215	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
19	213	2	0	0	right	HG00118_realigned.bam	chr1_13417_13421
20	212	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
21	211	2	0	0	right	HG00118_realigned.bam	chr1_13417_13421
22	210	2	0	0	right	HG00118_realigned.bam	chr1_13417_13421
23	210	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
24	208	2	0	0	right	HG00118_realigned.bam	chr1_13417_13421
25	209	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
26	207	3	0	0	right	HG00118_realigned.bam	chr1_13417_13421
27	209	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
28	208	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
29	208	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
30	208	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
31	208	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
32	207	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
33	205	3	0	0	right	HG00118_realigned.bam	chr1_13417_13421
34	208	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
35	208	0	1	0	right	HG00118_realigned.bam	chr1_13417_13421
36	206	2	0	0	right	HG00118_realigned.bam	chr1_13417_13421
37	207	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
38	208	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
39	207	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
40	207	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
41	207	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
42	207	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
43	207	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
44	208	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
45	208	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
46	204	3	0	0	right	HG00118_realigned.bam	chr1_13417_13421
47	206	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
48	206	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
49	205	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
50	205	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
51	205	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
52	201	4	0	0	right	HG00118_realigned.bam	chr1_13417_13421
53	201	3	0	0	right	HG00118_realigned.bam	chr1_13417_13421
54	203	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
55	202	2	0	0	right	HG00118_realigned.bam	chr1_13417_13421
56	202	2	0	0	right	HG00118_realigned.bam	chr1_13417_13421
57	204	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
58	204	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
59	203	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
60	204	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
61	202	2	0	0	right	HG00118_realigned.bam	chr1_13417_13421
62	203	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
63	200	3	0	0	right	HG00118_realigned.bam	chr1_13417_13421
64	202	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
65	201	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
66	202	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
67	201	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
68	201	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
69	199	3	0	0	right	HG00118_realigned.bam	chr1_13417_13421
70	201	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
71	200	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
72	200	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
73	200	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
74	199	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
75	199	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
76	199	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
77	197	2	0	0	right	HG00118_realigned.bam	chr1_13417_13421
78	199	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
79	198	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
80	198	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
81	197	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
82	196	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
83	197	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
84	195	2	0	0	right	HG00118_realigned.bam	chr1_13417_13421
85	195	2	0	0	right	HG00118_realigned.bam	chr1_13417_13421
86	196	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
87	197	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
88	191	6	0	0	right	HG00118_realigned.bam	chr1_13417_13421
89	196	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
90	196	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
91	195	2	0	0	right	HG00118_realigned.bam	chr1_13417_13421
92	197	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
93	195	2	0	0	right	HG00118_realigned.bam	chr1_13417_13421
94	195	2	0	0	right	HG00118_realigned.bam	chr1_13417_13421
95	196	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
96	195	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
97	195	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
98	192	4	0	0	right	HG00118_realigned.bam	chr1_13417_13421
99	195	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
100	194	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
101	195	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
102	194	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
103	192	2	0	0	right	HG00118_realigned.bam	chr1_13417_13421
104	192	2	0	0	right	HG00118_realigned.bam	chr1_13417_13421
105	194	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
106	191	3	0	0	right	HG00118_realigned.bam	chr1_13417_13421
107	193	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
108	192	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
109	191	2	0	0	right	HG00118_realigned.bam	chr1_13417_13421
110	192	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
111	192	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
112	191	2	0	0	right	HG00118_realigned.bam	chr1_13417_13421
113	191	2	0	0	right	HG00118_realigned.bam	chr1_13417_13421
114	190	2	0	0	right	HG00118_realigned.bam	chr1_13417_13421
115	191	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
116	190	2	0	0	right	HG00118_realigned.bam	chr1_13417_13421
117	192	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
118	186	4	0	0	right	HG00118_realigned.bam	chr1_13417_13421
119	190	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
120	190	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
121	189	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
122	189	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
123	188	2	0	0	right	HG00118_realigned.bam	chr1_13417_13421
124	186	3	0	0	right	HG00118_realigned.bam	chr1_13417_13421
125	189	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
126	185	3	0	0	right	HG00118_realigned.bam	chr1_13417_13421
127	188	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
128	188	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
129	187	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
130	186	2	0	0	right	HG00118_realigned.bam	chr1_13417_13421
131	187	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
132	185	3	0	0	right	HG00118_realigned.bam	chr1_13417_13421
133	186	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
134	185	2	0	0	right	HG00118_realigned.bam	chr1_13417_13421
135	185	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
136	184	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
137	185	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
138	181	2	0	0	right	HG00118_realigned.bam	chr1_13417_13421
139	182	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
140	182	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
141	182	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
142	182	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
143	182	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
144	181	2	0	0	right	HG00118_realigned.bam	chr1_13417_13421
145	181	2	0	0	right	HG00118_realigned.bam	chr1_13417_13421
146	181	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
147	181	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
148	181	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
149	179	1	0	0	right	HG00118_realigned.bam	chr1_13417_13421
150	178	0	0	0	right	HG00118_realigned.bam	chr1_13417_13421
0,-1,358,0,0,0,left,HG00118_realigned.bam,chr1_15240_15252
1,-2,355,3,0,0,left,HG00118_realigned.bam,chr1_15240_15252
2,-3,352,5,0,0,left,HG00118_realigned.bam,chr1_15240_15252
3,-4,354,1,0,0,left,HG00118_realigned.bam,chr1_15240_15252
4,-5,352,3,0,0,left,HG00118_realigned.bam,chr1_15240_15252
5,-6,354,1,0,0,left,HG00118_realigned.bam,chr1_15240_15252
6,-7,354,1,0,0,left,HG00118_realigned.bam,chr1_15240_15252
7,-8,351,4,0,0,left,HG00118_realigned.bam,chr1_15240_15252
8,-9,355,0,0,0,left,HG00118_realigned.bam,chr1_15240_15252
9,-10,354,1,0,0,left,HG00118_realigned.bam,chr1_15240_15252
10,-11,352,3,0,0,left,HG00118_realigned.bam,chr1_15240_15252
11,-12,352,2,0,0,left,HG00118_realigned.bam,chr1_15240_15252
12,-13,352,2,0,0,left,HG00118_realigned.bam,chr1_15240_15252
13,-14,350,4,0,0,left,HG00118_realigned.bam,chr1_15240_15252
14,-15,353,1,0,0,left,HG00118_realigned.bam,chr1_15240_15252
15,-16,351,1,0,0,left,HG00118_realigned.bam,chr1_15240_15252
16,-17,350,2,0,0,left,HG00118_realigned.bam,chr1_15240_15252
17,-18,351,1,0,0,left,HG00118_realigned.bam,chr1_15240_15252
18,-19,351,1,0,0,left,HG00118_realigned.bam,chr1_15240_15252
19,-20,351,1,0,0,left,HG00118_realigned.bam,chr1_15240_15252
20,-21,348,4,0,0,left,HG00118_realigned.bam,chr1_15240_15252
21,-22,351,1,0,0,left,HG00118_realigned.bam,chr1_15240_15252
22,-23,351,1,0,0,left,HG00118_realigned.bam,chr1_15240_15252
23,-24,347,4,0,0,left,HG00118_realigned.bam,chr1_15240_15252
24,-25,349,2,0,0,left,HG00118_realigned.bam,chr1_15240_15252
25,-26,347,4,0,0,left,HG00118_realigned.bam,chr1_15240_15252
26,-27,345,2,0,0,left,HG00118_realigned.bam,chr1_15240_15252
27,-28,346,1,0,0,left,HG00118_realigned.bam,chr1_15240_15252
28,-29,347,0,0,0,left,HG00118_realigned.bam,chr1_15240_15252
29,-30,337,10,0,0,left,HG00118_realigned.bam,chr1_15240_15252
30,-31,344,3,0,0,left,HG00118_realigned.bam,chr1_15240_15252
31,-32,344,3,0,0,left,HG00118_realigned.bam,chr1_15240_15252
32,-33,347,0,0,0,left,HG00118_realigned.bam,chr1_15240_15252
33,-34,345,2,0,0,left,HG00118_realigned.bam,chr1_15240_15252
34,-35,345,2,0,0,left,HG00118_realigned.bam,chr1_15240_15252
35,-36,347,0,0,0,left,HG00118_realigned.bam,chr1_15240_15252
36,-37,341,6,0,0,left,HG00118_realigned.bam,chr1_15240_15252
37,-38,345,2,0,0,left,HG00118_realigned.bam,chr1_15240_15252
38,-39,344,3,0,0,left,HG00118_realigned.bam,chr1_15240_15252
39,-40,347,0,0,0,left,HG00118_realigned.bam,chr1_15240_15252
40,-41,347,0,0,0,left,HG00118_realigned.bam,chr1_15240_15252
41,-42,346,1,0,0,left,HG00118_realigned.bam,chr1_15240_15252
42,-43,344,3,0,0,left,HG00118_realigned.bam,chr1_15240_15252
43,-44,341,6,0,0,left,HG00118_realigned.bam,chr1_15240_15252
44,-45,345,2,0,0,left,HG00118_realigned.bam,chr1_15240_15252
45,-46,345,2,0,0,left,HG00118_realigned.bam,chr1_15240_15252
46,-47,346,1,0,0,left,HG00118_realigned.bam,chr1_15240_15252
47,-48,346,1,0,0,left,HG00118_realigned.bam,chr1_15240_15252
48,-49,345,2,0,0,left,HG00118_realigned.bam,chr1_15240_15252
49,-50,343,4,0,0,left,HG00118_realigned.bam,chr1_15240_15252
50,-51,346,1,0,0,left,HG00118_realigned.bam,chr1_15240_15252
51,-52,344,2,0,0,left,HG00118_realigned.bam,chr1_15240_15252
52,-53,346,0,0,0,left,HG00118_realigned.bam,chr1_15240_15252
53,-54,343,2,0,0,left,HG00118_realigned.bam,chr1_15240_15252
54,-55,343,0,0,0,left,HG00118_realigned.bam,chr1_15240_15252
55,-56,340,2,0,0,left,HG00118_realigned.bam,chr1_15240_15252
56,-57,339,2,0,0,left,HG00118_realigned.bam,chr1_15240_15252
57,-58,339,2,0,0,left,HG00118_realigned.bam,chr1_15240_15252
58,-59,338,2,0,0,left,HG00118_realigned.bam,chr1_15240_15252
59,-60,335,2,0,0,left,HG00118_realigned.bam,chr1_15240_15252
60,-61,331,3,0,0,left,HG00118_realigned.bam,chr1_15240_15252
61,-62,329,5,0,0,left,HG00118_realigned.bam,chr1_15240_15252
62,-63,334,0,0,0,left,HG00118_realigned.bam,chr1_15240_15252
63,-64,331,3,0,0,left,HG00118_realigned.bam,chr1_15240_15252
64,-65,332,1,0,0,left,HG00118_realigned.bam,chr1_15240_15252
65,-66,331,2,0,0,left,HG00118_realigned.bam,chr1_15240_15252
66,-67,329,4,0,0,left,HG00118_realigned.bam,chr1_15240_15252
67,-68,332,1,0,0,left,HG00118_realigned.bam,chr1_15240_15252
68,-69,331,1,0,0,left,HG00118_realigned.bam,chr1_15240_15252
69,-70,331,1,0,0,left,HG00118_realigned.bam,chr1_15240_15252
70,-71,331,1,0,0,left,HG00118_realigned.bam,chr1_15240_15252
71,-72,331,1,0,0,left,HG00118_realigned.bam,chr1_15240_15252
72,-73,330,2,0,0,left,HG00118_realigned.bam,chr1_15240_15252
73,-74,328,3,0,0,left,HG00118_realigned.bam,chr1_15240_15252
74,-75,329,2,0,0,left,HG00118_realigned.bam,chr1_15240_15252
75,-76,325,4,0,0,left,HG00118_realigned.bam,chr1_15240_15252
76,-77,327,1,0,0,left,HG00118_realigned.bam,chr1_15240_15252
77,-78,324,3,0,0,left,HG00118_realigned.bam,chr1_15240_15252
78,-79,323,3,0,0,left,HG00118_realigned.bam,chr1_15240_15252
79,-80,323,2,0,0,left,HG00118_realigned.bam,chr1_15240_15252
80,-81,321,2,0,0,left,HG00118_realigned.bam,chr1_15240_15252
81,-82,320,2,0,0,left,HG00118_realigned.bam,chr1_15240_15252
82,-83,322,0,0,0,left,HG00118_realigned.bam,chr1_15240_15252
83,-84,320,2,0,1,left,HG00118_realigned.bam,chr1_15240_15252
84,-85,318,4,0,1,left,HG00118_realigned.bam,chr1_15240_15252
85,-86,321,0,0,1,left,HG00118_realigned.bam,chr1_15240_15252
86,-87,321,0,0,0,left,HG00118_realigned.bam,chr1_15240_15252
87,-88,319,2,0,0,left,HG00118_realigned.bam,chr1_15240_15252
88,-89,321,0,0,0,left,HG00118_realigned.bam,chr1_15240_15252
89,-90,319,2,0,0,left,HG00118_realigned.bam,chr1_15240_15252
90,-91,319,2,0,0,left,HG00118_realigned.bam,chr1_15240_15252
91,-92,320,1,0,0,left,HG00118_realigned.bam,chr1_15240_15252
92,-93,319,2,0,0,left,HG00118_realigned.bam,chr1_15240_15252
93,-94,320,1,0,0,left,HG00118_realigned.bam,chr1_15240_15252
94,-95,320,1,0,0,left,HG00118_realigned.bam,chr1_15240_15252
95,-96,317,3,0,0,left,HG00118_realigned.bam,chr1_15240_15252
96,-97,317,3,0,1,left,HG00118_realigned.bam,chr1_15240_15252
